Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|P  0.041  %  ASTM E1999  |P|0,041
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|S  0.0046  %  ASTM E1999  |S|0,0046
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Cr  0.036  %  ASTM E1999  |Cr|0,036
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Ni  0.021  %  ASTM E1999  |Ni|0,021
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Cu  0.047  %  ASTM E1999  |Cu|0,047
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|V  0.0098  %  ASTM E1999  |V|0,0098
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|C  0.036  %  ASTM E1086  |C|0,036
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Si  0.430  %  ASTM E1086  |Si|0,430
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Mn  1.687  %  ASTM E1086  |Mn|1,687
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|P  0.025  %  ASTM E1086  |P|0,025
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|S  0.018  %  ASTM E1086  |S|0,018
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Cr  18.50  %  ASTM E1086  |Cr|18,50
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Ni  8.224  %  ASTM E1086  |Ni|8,224
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Mo  0.261  %  ASTM E1086  |Mo|0,261
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Cu  0.512  %  ASTM E1086  |Cu|0,512
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Fe+Diğer  Kalan  %  ASTM E1086  |Fe+Diğer|Kalan
Kilit Mekanizması Numune 2|Paslanmaz Çelik Spektrometrik Analiz|C  0.032  %  ASTM E1086  |C|0,032
Kilit Mekanizması Numune 2|Paslanmaz Çelik Spektrometrik Analiz|Si  0.424  %  ASTM E1086  |Si|0,424
Kilit Mekanizması Numune 2|Paslanmaz Çelik Spektrometrik Analiz|Mn  1.709  %  ASTM E1086  |Mn|1,709
Kilit Mekanizması Numune 2|Paslanmaz Çelik Spektrometrik Analiz|P  0.029  %  ASTM E1086  |P|0,029
Kilit Mekanizması Numune 2|Paslanmaz Çelik Spektrometrik Analiz|S  0.017  %  ASTM E1086  |S|0,017
Kilit Mekanizması Numune 2|Paslanmaz Çelik Spektrometrik Analiz|Cr  18.64  %  ASTM E1086  |Cr|18,64
Kilit Mekanizması Numune 2|Paslanmaz Çelik Spektrometrik Analiz|Ni  8.128  %  ASTM E1086  |Ni|8,128
Kilit Mekanizması Numune 2|Paslanmaz Çelik Spektrometrik Analiz|Mo  0.264  %  ASTM E1086  |Mo|0,264
Kilit Mekanizması Numune 2|Paslanmaz Çelik Spektrometrik Analiz|Cu  0.509  %  ASTM E1086  |Cu|0,509
Kilit Mekanizması Numune 2|Paslanmaz Çelik Spektrometrik Analiz|Fe+Diğer  Kalan  %  ASTM E1086  |Fe+Diğer|Kalan
Kilit Mekanizması Numune 3|Paslanmaz Çelik Spektrometrik Analiz|C  0.029  %  ASTM E1086  |C|0,029
Kilit Mekanizması Numune 3|Paslanmaz Çelik Spektrometrik Analiz|Si  0.430  %  ASTM E1086  |Si|0,430
Kilit Mekanizması Numune 3|Paslanmaz Çelik Spektrometrik Analiz|Mn  1.721  %  ASTM E1086  |Mn|1,721
Kilit Mekanizması Numune 3|Paslanmaz Çelik Spektrometrik Analiz|P  0.033  %  ASTM E1086  |P|0,033
Kilit Mekanizması Numune 3|Paslanmaz Çelik Spektrometrik Analiz|S  0.015  %  ASTM E1086  |S|0,015
Kilit Mekanizması Numune 3|Paslanmaz Çelik Spektrometrik Analiz|Cr  18.38  %  ASTM E1086  |Cr|18,38
Kilit Mekanizması Numune 3|Paslanmaz Çelik Spektrometrik Analiz|Ni  8.179  %  ASTM E1086  |Ni|8,179
Kilit Mekanizması Numune 3|Paslanmaz Çelik Spektrometrik Analiz|Mo  0.268  %  ASTM E1086  |Mo|0,268
Kilit Mekanizması Numune 3|Paslanmaz Çelik Spektrometrik Analiz|Cu  0.519  %  ASTM E1086  |Cu|0,519
Kilit Mekanizması Numune 3|Paslanmaz Çelik Spektrometrik Analiz|Fe+Diğer  Kalan  %  ASTM E1086  |Fe+Diğer|Kalan
Kilit Mekanizması Numune 4|Paslanmaz Çelik Spektrometrik Analiz|C  0.031  %  ASTM E1086  |C|0,031
Kilit Mekanizması Numune 4|Paslanmaz Çelik Spektrometrik Analiz|Si  0.425  %  ASTM E1086  |Si|0,425
Kilit Mekanizması Numune 4|Paslanmaz Çelik Spektrometrik Analiz|Mn  1.701  %  ASTM E1086  |Mn|1,701
Kilit Mekanizması Numune 4|Paslanmaz Çelik Spektrometrik Analiz|P  0.037  %  ASTM E1086  |P|0,037
Kilit Mekanizması Numune 4|Paslanmaz Çelik Spektrometrik Analiz|S  0.015  %  ASTM E1086  |S|0,015
Kilit Mekanizması Numune 4|Paslanmaz Çelik Spektrometrik Analiz|Cr  18.53  %  ASTM E1086  |Cr|18,53
Kilit Mekanizması Numune 4|Paslanmaz Çelik Spektrometrik Analiz|Ni  8.220  %  ASTM E1086  |Ni|8,220
Kilit Mekanizması Numune 4|Paslanmaz Çelik Spektrometrik Analiz|Mo  0.258  %  ASTM E1086  |Mo|0,258
Kilit Mekanizması Numune 4|Paslanmaz Çelik Spektrometrik Analiz|Cu  0.507  %  ASTM E1086  |Cu|0,507
